ID,Name,Latitude,Longitude,NBBikes,NBEmptydoc,MapLabel,Dateserver,Coordinates
40,Rod Laver Arena - Batman Ave / Swan St,-37.822987,144.978459,19,4,Rod Laver Arena - Batman Ave / Swan St,04/29/2014 07:00:00 AM +0000,"(-37.8229870000002, 144.97845899998)"
41,Park St / St Kilda Rd,-37.832396,144.971678,8,7,Park St / St Kilda Rd,04/29/2014 07:00:00 AM +0000,"(-37.832396000033, 144.971677999947)"
42,Kingsway / St Kilda Rd,-37.836323,144.975162,23,4,Kingsway / St Kilda Rd,04/29/2014 07:00:00 AM +0000,"(-37.8363229999461, 144.975161999998)"
43,Spring St / Collins St,-37.813774,144.974054,8,3,Spring St / Collins St,04/29/2014 07:00:00 AM +0000,"(-37.8137739999641, 144.974053999945)"
44,Queens Rd / Bowen Cres,-37.835383,144.973699,5,9,Queens Rd / Bowen Cres,04/29/2014 07:00:00 AM +0000,"(-37.8353830000035, 144.97369899997)"
45,St Kilda - Luna Park,-37.867068,144.976428,17,1,St Kilda - Luna Park,04/29/2014 07:00:00 AM +0000,"(-37.8670680000241, 144.976427999961)"
46,York St / Cecil St,-37.831475,144.957511,15,0,York St / Cecil St,04/29/2014 07:00:00 AM +0000,"(-37.8314750000087, 144.957511000054)"
47,VCAM - St Kilda Rd / Southbank Blvd,-37.824088,144.970085,8,1,VCAM - St Kilda Rd / Southbank Blvd,04/29/2014 07:00:00 AM +0000,"(-37.8240879999853, 144.970084999975)"
48,Museum - Rathdowne St,-37.803868,144.969609,6,9,Museum - Rathdowne St,04/29/2014 07:00:00 AM +0000,"(-37.8038679999659, 144.969608999927)"
49,Jolimont Station - Wellington Parade South,-37.816731,144.982006,7,4,Jolimont Station - Wellington Parade South,04/29/2014 07:00:00 AM +0000,"(-37.8167309999401, 144.982006000035)"
50,ACCA (Australian Centre of Contemporary Art),-37.826578,144.966542,20,3,ACCA (Australian Centre of Contemporary Art),04/29/2014 07:00:00 AM +0000,"(-37.8265779999931, 144.966541999977)"
51,Docklands - Collins St (ANZ),-37.821568,144.944488,2,16,Docklands - Collins St (ANZ),04/29/2014 07:00:00 AM +0000,"(-37.8215680000324, 144.944487999973)"
52,William St / Peel St (Flagstaff Gardens),-37.809216,144.955223,6,5,William St / Peel St (Flagstaff Gardens),04/29/2014 07:00:00 AM +0000,"(-37.809215999969, 144.95522299999)"
53,Victoria Market - Elizabeth St / Victoria St (NW),-37.806091,144.959017,21,4,Victoria Market - Elizabeth St / Victoria St (NW),04/29/2014 07:00:00 AM +0000,"(-37.8060909999844, 144.959016999961)"
55,Coventry St / Clarendon St,-37.831776,144.960818,10,1,Coventry St / Clarendon St,04/29/2014 07:00:00 AM +0000,"(-37.831775999981, 144.960817999995)"
57,St Kilda - Fitzroy Street,-37.858655,144.978818,11,8,St Kilda - Fitzroy Street,04/29/2014 07:00:00 AM +0000,"(-37.8586549999965, 144.978818000048)"
