Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,8 Gardner Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791881,144.922486,"8 Gardner Lane
(-37.791881, 144.922486)"
 ,10 Peppercorn Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79214,144.922653,"10 Peppercorn Walk
(-37.79214, 144.922653)"
 ,6 Peppercorn Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792087,144.922745,"6 Peppercorn Walk
(-37.792087, 144.922745)"
 ,21 Woodruff Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791996,144.92281,"21 Woodruff Street
(-37.791996, 144.92281)"
 ,8 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796265,144.933525,"8 Albermarle Street
(-37.796265, 144.933525)"
 ,14-16 Colonial Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790692,144.922694,"14-16 Colonial Place
(-37.790692, 144.922694)"
 ,7-9 Mawbey Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790304,144.923049,"7-9 Mawbey Street
(-37.790304, 144.923049)"
 ,14 Cuffe Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790628,144.922772,"14 Cuffe Walk
(-37.790628, 144.922772)"
 ,4 Cuffe Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790448,144.923064,"4 Cuffe Walk
(-37.790448, 144.923064)"
 ,13-15 Tankard Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.796086,144.920171,"13-15 Tankard Street
(-37.796086, 144.920171)"
 ,10-12 Tankard Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2003,0,-37.796219,144.919753,"10-12 Tankard Street
(-37.796219, 144.919753)"
 ,83-85 Newman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.795109,144.921702,"83-85 Newman Street
(-37.795109, 144.921702)"
 ,3 Baulderstone Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.795227,144.921201,"3 Baulderstone Walk
(-37.795227, 144.921201)"
 ,74-76 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.794934,144.919526,"74-76 The Crescent
(-37.794934, 144.919526)"
 ,3 Mercantile Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.795053,144.920262,"3 Mercantile Parade
(-37.795053, 144.920262)"
 ,63-65 Fairbairn Drive,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2003,0,-37.796493,144.919652,"63-65 Fairbairn Drive
(-37.796493, 144.919652)"
 ,27 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793288,144.924557,"27 Bayswater Road
(-37.793288, 144.924557)"
 ,65 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793628,144.921885,"65 Westbourne Road
(-37.793628, 144.921885)"
 ,55 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793428,144.922238,"55 Westbourne Road
(-37.793428, 144.922238)"
 ,9 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795244,144.93185,"9 Hardiman Street
(-37.795244, 144.93185)"
 ,3 Lennon Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.800989,144.930145,"3 Lennon Street
(-37.800989, 144.930145)"
J.J. Holland Park,67-121 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1960,2010,-37.79794,144.924041,"67-121 Kensington Road
(-37.79794, 144.924041)"
 ,388-398 Dynon Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,0,1960,0,-37.801394,144.916236,"388-398 Dynon Road
(-37.801394, 144.916236)"
 ,207 Kensington Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,0,1970,0,-37.800872,144.916507,"207 Kensington Road
(-37.800872, 144.916507)"
 ,47-63 Hobsons Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.796844,144.917411,"47-63 Hobsons Road
(-37.796844, 144.917411)"
 ,180-194 Kensington Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.799572,144.917163,"180-194 Kensington Road
(-37.799572, 144.917163)"
 ,442-452 Dynon Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,1,2012,0,-37.800834,144.91311,"442-452 Dynon Road
(-37.800834, 144.91311)"
 ,93 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792464,144.92026,"93 Stockmans Way
(-37.792464, 144.92026)"
 ,91 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792471,144.920311,"91 Stockmans Way
(-37.792471, 144.920311)"
 ,87 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792484,144.920414,"87 Stockmans Way
(-37.792484, 144.920414)"
 ,42 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793709,144.918279,"42 Francis Lane
(-37.793709, 144.918279)"
 ,51 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793742,144.918865,"51 The Crescent
(-37.793742, 144.918865)"
 ,61 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794038,144.923275,"61 Bayswater Road
(-37.794038, 144.923275)"
 ,80 Newton Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795669,144.923689,"80 Newton Street
(-37.795669, 144.923689)"
 ,13 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793524,144.919031,"13 Francis Lane
(-37.793524, 144.919031)"
 ,14-16 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796035,144.933565,"14-16 Albermarle Street
(-37.796035, 144.933565)"
 ,18 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795932,144.933583,"18 Albermarle Street
(-37.795932, 144.933583)"
 ,25 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795748,144.933041,"25 Albermarle Street
(-37.795748, 144.933041)"
 ,21 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795854,144.933024,"21 Albermarle Street
(-37.795854, 144.933024)"
 ,17 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795964,144.933004,"17 Albermarle Street
(-37.795964, 144.933004)"
 ,13 Bent Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795968,144.93495,"13 Bent Street
(-37.795968, 144.93495)"
 ,9 Bent Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796194,144.934928,"9 Bent Street
(-37.796194, 144.934928)"
Bessora,21 Chelmsford Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79619,144.932635,"21 Chelmsford Street
(-37.79619, 144.932635)"
 ,30 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79584,144.932651,"30 Hardiman Street
(-37.79584, 144.932651)"
 ,12 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795755,144.931958,"12 Hardiman Street
(-37.795755, 144.931958)"
 ,20 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79579,144.932223,"20 Hardiman Street
(-37.79579, 144.932223)"
 ,56-58 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795983,144.933891,"56-58 Hardiman Street
(-37.795983, 144.933891)"
 ,51-61 Hardiman Street,KENSINGTON,3031,Steps,All entrances have steps,1,0,1960,0,-37.79551,144.933859,"51-61 Hardiman Street
(-37.79551, 144.933859)"
 ,35 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795351,144.932793,"35 Hardiman Street
(-37.795351, 144.932793)"
 ,326 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798295,144.931389,"326 Bellair Street
(-37.798295, 144.931389)"
 ,515 Macaulay Road,KENSINGTON,3031,Steps,All entrances have steps,1,1,1890,1993,-37.794512,144.929051,"515 Macaulay Road
(-37.794512, 144.929051)"
 ,489-493 Macaulay Road,KENSINGTON,3031,Steps,All entrances have steps,1,1,1900,0,-37.794531,144.929697,"489-493 Macaulay Road
(-37.794531, 144.929697)"
Villa,50 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795756,144.9274,"50 Gower Street
(-37.795756, 144.9274)"
 ,7 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794736,144.928549,"7 Henry Street
(-37.794736, 144.928549)"
Yurunga,5 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794688,144.928631,"5 Henry Street
(-37.794688, 144.928631)"
 ,12 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794658,144.927867,"12 Henry Street
(-37.794658, 144.927867)"
Gawha,26-28 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79498,144.927294,"26-28 Henry Street
(-37.79498, 144.927294)"
 ,38 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795283,144.926782,"38 Henry Street
(-37.795283, 144.926782)"
 ,21 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794739,144.927097,"21 Kensington Road
(-37.794739, 144.927097)"
 ,7-13 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794562,144.927397,"7-13 Kensington Road
(-37.794562, 144.927397)"
 ,5 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794487,144.927547,"5 Kensington Road
(-37.794487, 144.927547)"
 ,22 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795696,144.929725,"22 Wolseley Parade
(-37.795696, 144.929725)"
 ,18 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795623,144.929853,"18 Wolseley Parade
(-37.795623, 144.929853)"
 ,40 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796086,144.929062,"40 Wolseley Parade
(-37.796086, 144.929062)"
 ,32 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795943,144.929305,"32 Wolseley Parade
(-37.795943, 144.929305)"
Ninyeunook,17 Derby Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796624,144.928151,"17 Derby Street
(-37.796624, 144.928151)"
 ,3 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797684,144.930933,"3 Tennyson Street
(-37.797684, 144.930933)"
 ,268-270 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796784,144.93085,"268-270 Bellair Street
(-37.796784, 144.93085)"
 ,20 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797504,144.930395,"20 Tennyson Street
(-37.797504, 144.930395)"
Werribee,26 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797598,144.930234,"26 Tennyson Street
(-37.797598, 144.930234)"
 ,37 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79744,144.929738,"37 Ormond Street
(-37.79744, 144.929738)"
 ,428 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798397,144.930366,"428 Arden Street
(-37.798397, 144.930366)"
 ,438 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798338,144.93009,"438 Arden Street
(-37.798338, 144.93009)"
 ,14 Greenham Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791676,144.920813,"14 Greenham Place
(-37.791676, 144.920813)"
 ,16 Greenham Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791703,144.920769,"16 Greenham Place
(-37.791703, 144.920769)"
 ,23-25 Bateman Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795388,144.918638,"23-25 Bateman Road
(-37.795388, 144.918638)"
 ,101 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794787,144.918766,"101 The Crescent
(-37.794787, 144.918766)"
 ,105 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794858,144.918831,"105 The Crescent
(-37.794858, 144.918831)"
 ,68 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.794865,144.919372,"68 The Crescent
(-37.794865, 144.919372)"
 ,2 Mercantile Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.795225,144.919783,"2 Mercantile Parade
(-37.795225, 144.919783)"
 ,1-3 Watkins Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79205,144.921646,"1-3 Watkins Way
(-37.79205, 144.921646)"
 ,104 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2002,0,-37.796616,144.922976,"104 Kensington Road
(-37.796616, 144.922976)"
 ,106 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2002,0,-37.796658,144.922903,"106 Kensington Road
(-37.796658, 144.922903)"
 ,35 Lincoln Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.796095,144.923329,"35 Lincoln Mews
(-37.796095, 144.923329)"
 ,37 Lincoln Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.796058,144.923393,"37 Lincoln Mews
(-37.796058, 144.923393)"
 ,225 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79455,144.917169,"225 Stockmans Way
(-37.79455, 144.917169)"
 ,221 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794444,144.917193,"221 Stockmans Way
(-37.794444, 144.917193)"
 ,125 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795236,144.919176,"125 The Crescent
(-37.795236, 144.919176)"
 ,79 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794333,144.918351,"79 The Crescent
(-37.794333, 144.918351)"
 ,11 Derby Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796498,144.928032,"11 Derby Street
(-37.796498, 144.928032)"
 ,3 Durham Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795865,144.928485,"3 Durham Street
(-37.795865, 144.928485)"
 ,35 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795314,144.928995,"35 Gower Street
(-37.795314, 144.928995)"
 ,25 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795105,144.929353,"25 Gower Street
(-37.795105, 144.929353)"
 ,10 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795457,144.930136,"10 Wolseley Parade
(-37.795457, 144.930136)"
 ,224 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795206,144.930324,"224 Bellair Street
(-37.795206, 144.930324)"
 ,2-4 Fink Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.797589,144.933197,"2-4 Fink Street
(-37.797589, 144.933197)"
 ,5-7 Fink Street,KENSINGTON,3031,Steps,All entrances have steps,1,0,1970,0,-37.797161,144.933471,"5-7 Fink Street
(-37.797161, 144.933471)"
 ,North Wharf Road,DOCKLANDS,3008,Steps,All entrances have steps,1,0,1950,0,-37.819248,144.933735,"North Wharf Road
(-37.819248, 144.933735)"
 ,10-12 Garden Avenue,EAST MELBOURNE,3002,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.816268,144.989011,"10-12 Garden Avenue
(-37.816268, 144.989011)"
 ,82-88 Turner Street,PORT MELBOURNE,3207,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.824427,144.926719,"82-88 Turner Street
(-37.824427, 144.926719)"
 ,40 Kings Way,SOUTHBANK,3006,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.8267,144.96073,"40 Kings Way
(-37.8267, 144.96073)"
 ,33-59 Cook Street,FISHERMANS BEND,3207,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.829884,144.915888,"33-59 Cook Street
(-37.829884, 144.915888)"
Railway Revegetation Area,33 Meaden Street,SOUTHBANK,3006,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.827387,144.954688,"33 Meaden Street
(-37.827387, 144.954688)"
 ,97-103 Elizabeth Street,MELBOURNE,3000,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,7,1911,1988,-37.815921,144.963497,"97-103 Elizabeth Street
(-37.815921, 144.963497)"
 ,19 McKillop Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,2,1854,2000,-37.815341,144.96162,"19 McKillop Street
(-37.815341, 144.96162)"
 ,385 Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1981,2005,-37.814915,144.962944,"385 Bourke Street
(-37.814915, 144.962944)"
Former Qantas House,114-128 William Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,22,1976,2008,-37.816306,144.958922,"114-128 William Street
(-37.816306, 144.958922)"
 ,130-148 William Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,41,1972,2004,-37.815956,144.958939,"130-148 William Street
(-37.815956, 144.958939)"
Royal Insurance Centre,430-442 Collins Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,16,1965,1996,-37.817032,144.959762,"430-442 Collins Street
(-37.817032, 144.959762)"
CC Roeszler & Son Building,429 Little Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1945,1997,-37.816278,144.960451,"429 Little Collins Street
(-37.816278, 144.960451)"
OCBC House,561-571 Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,15,1902,2006,-37.816474,144.957017,"561-571 Bourke Street
(-37.816474, 144.957017)"
Travelodge,9 Riverside Quay,SOUTHBANK,3006,Step free,Main Entrance is at grade and has no steps or ramp,3,11,2002,0,-37.821331,144.96524,"9 Riverside Quay
(-37.821331, 144.96524)"
 ,51-59 Lorimer Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.825639,144.946756,"51-59 Lorimer Street
(-37.825639, 144.946756)"
 ,672-692 Footscray Road,WEST MELBOURNE,3003,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1990,0,-37.805704,144.910777,"672-692 Footscray Road
(-37.805704, 144.910777)"
 ,439-459 Dynon Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.802347,144.912501,"439-459 Dynon Road
(-37.802347, 144.912501)"
Flinders Towers,546-548 Flinders Street,MELBOURNE,3000,Steps,All entrances have steps,1,12,2005,0,-37.820509,144.956146,"546-548 Flinders Street
(-37.820509, 144.956146)"
Morgan Place,547-555 Flinders Lane,MELBOURNE,3000,Steps,All entrances have steps,1,7,2000,0,-37.820019,144.955837,"547-555 Flinders Lane
(-37.820019, 144.955837)"
Pensione Hotel,10-22 Spencer Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1880,2006,-37.820506,144.955242,"10-22 Spencer Street
(-37.820506, 144.955242)"
Nomads All Nations Backpacker Hotel,566-580 Flinders Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1920,2000,-37.82072,144.955346,"566-580 Flinders Street
(-37.82072, 144.955346)"
 ,89 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79453,144.918531,"89 The Crescent
(-37.79453, 144.918531)"
 ,11-15 Hornsby Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79384,144.920233,"11-15 Hornsby Lane
(-37.79384, 144.920233)"
 ,1-15 Devon Street,KENSINGTON,3031,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,0,0,0,-37.795922,144.923987,"1-15 Devon Street
(-37.795922, 144.923987)"
 ,14-16 Speakmen Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794207,144.918033,"14-16 Speakmen Street
(-37.794207, 144.918033)"
 ,33 Speakmen Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794561,144.917435,"33 Speakmen Street
(-37.794561, 144.917435)"
 ,46 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793853,144.918228,"46 Francis Lane
(-37.793853, 144.918228)"
Pacific National Melbourne Freight Terminal,71-385 Dynon Road,WEST MELBOURNE,3003,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,0,-37.805208,144.935177,"71-385 Dynon Road
(-37.805208, 144.935177)"
Crown Terrace,419-421 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,5,1952,1995,-37.81313,144.960355,"419-421 Lonsdale Street
(-37.81313, 144.960355)"
 ,64-66 Hardware Lane,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,1997,-37.813182,144.961167,"64-66 Hardware Lane
(-37.813182, 144.961167)"
 ,68-78 Hardware Lane,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,1987,-37.81307,144.961106,"68-78 Hardware Lane
(-37.81307, 144.961106)"
Niagara Hotel,383-387 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1993,-37.812833,144.961192,"383-387 Lonsdale Street
(-37.812833, 144.961192)"
Armstrong House,217-219 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1907,2001,-37.81373,144.959843,"217-219 Queen Street
(-37.81373, 144.959843)"
Stawell Chambers,493-495 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1890,0,-37.814685,144.958227,"493-495 Little Bourke Street
(-37.814685, 144.958227)"
Great Western Hotel,204-208 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,0,-37.815211,144.955483,"204-208 King Street
(-37.815211, 144.955483)"
 ,542-546 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,7,2003,0,-37.814778,144.956367,"542-546 Little Bourke Street
(-37.814778, 144.956367)"
Marsh Centre,541-557 Lonsdale Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,13,1989,0,-37.814393,144.956213,"541-557 Lonsdale Street
(-37.814393, 144.956213)"
99 William Street,99-107 William Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,12,1985,1998,-37.816905,144.958419,"99-107 William Street
(-37.816905, 144.958419)"
Grand City Apartments,616-622 Little Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,6,1937,1995,-37.8176,144.954277,"616-622 Little Collins Street
(-37.8176, 144.954277)"
St Augustines Church,653 Bourke Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.817196,144.954923,"653 Bourke Street
(-37.817196, 144.954923)"
Kingsgate Hotel,131-137 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,6,1926,2010,-37.817083,144.955503,"131-137 King Street
(-37.817083, 144.955503)"
 ,613-639 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,23,1973,2007,-37.818184,144.954365,"613-639 Little Collins Street
(-37.818184, 144.954365)"
 ,414-416 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,7,1928,2002,-37.814515,144.961444,"414-416 Bourke Street
(-37.814515, 144.961444)"
 ,21-25 Hardware Lane,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,2,1945,0,-37.814091,144.961314,"21-25 Hardware Lane
(-37.814091, 144.961314)"
 ,195 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1851,0,-37.813803,144.96267,"195 Elizabeth Street
(-37.813803, 144.96267)"
 ,215 Elizabeth Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,2,1945,0,-37.813461,144.962511,"215 Elizabeth Street
(-37.813461, 144.962511)"
